MapID	SiteCode	Biome	Ecoregion	biogeoEU	biogeo.prov	climate	EUNIS	Month_startExp	Year	dung	trap	trap2	y	x	z	mmaxT	mminT	mT	emaxT	eminT	tP	eP	sum
1	SP_CV	Mediterranean forest, woodlands and scrub	Iberian sclerophyllous and semi-deciduous forests	Mediterranean	Iberian highlands	Csb	Mediterranean montane grassland	June	2016	C	T1b	T1b1	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	120
1	SP_CV	Mediterranean forest, woodlands and scrub	Iberian sclerophyllous and semi-deciduous forests	Mediterranean	Iberian highlands	Csb	Mediterranean montane grassland	June	2016	C	T1b	T1b2	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	120
1	SP_CV	Mediterranean forest, woodlands and scrub	Iberian sclerophyllous and semi-deciduous forests	Mediterranean	Iberian highlands	Csb	Mediterranean montane grassland	June	2016	C	T1b	T1b3	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	129
1	SP_CV	Mediterranean forest, woodlands and scrub	Iberian sclerophyllous and semi-deciduous forests	Mediterranean	Iberian highlands	Csb	Mediterranean montane grassland	June	2016	C	T1b	T1b4	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	104
1	SP_CV	Mediterranean forest, woodlands and scrub	Iberian sclerophyllous and semi-deciduous forests	Mediterranean	Iberian highlands	Csb	Mediterranean montane grassland	June	2016	C	T1b	T1b5	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	119
1	SP_CV	Mediterranean forest, woodlands and scrub	Iberian sclerophyllous and semi-deciduous forests	Mediterranean	Iberian highlands	Csb	Mediterranean montane grassland	June	2016	C	T1b	T1b6	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	99
2	UK_MH	Temperate broadleaf and mixed forests	Celtic broadleaf forests	Atlantic	British islands	Cfb	montane grassland	June	2014	C	T1	T1	54.66	-2.47	446	17.6	8.5	13.1	25	4.4	61	15	13
2	UK_MH	Temperate broadleaf and mixed forests	Celtic broadleaf forests	Atlantic	British islands	Cfb	montane grassland	June	2014	C	T5	T5	54.66	-2.47	446	17.6	8.5	13.1	25	4.4	61	15	35
2	UK_MH	Temperate broadleaf and mixed forests	Celtic broadleaf forests	Atlantic	British islands	Cfb	montane grassland	June	2014	S	T1	T1	54.66	-2.47	446	17.6	8.5	13.1	25	4.4	61	15	23
2	UK_MH	Temperate broadleaf and mixed forests	Celtic broadleaf forests	Atlantic	British islands	Cfb	montane grassland	June	2014	S	T5	T5	54.66	-2.47	446	17.6	8.5	13.1	25	4.4	61	15	148
