Code	SiteCode	biogeo	climate	start	year	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
KH_T1C1	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T1	1	15	0	0
KH_T1C1	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T1	6	29	0	0
KH_T1C2	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T1	1	1	0	0
KH_T1C2	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T1	10	46	0	2
KH_T1C3	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T1	1	2	0	0
KH_T1C3	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T1	2	9	0	0
KH_T1C4	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T1	0	3	0	1
KH_T1C4	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T1	6	10	0	0
KH_T1C5	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T1	2	2	0	0
KH_T1C5	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T1	11	72	0	0
KH_T1C6	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	C	T1	1	4	0	1
KH_T1C6	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	C	T1	33	30	0	1
KH_T1H1	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T1	7	1	0	4
KH_T1H1	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T1	4	1132	0	4
KH_T1H2	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T1	4	4	0	5
KH_T1H2	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T1	3	360	0	0
KH_T1H3	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T1	0	1	0	6
KH_T1H3	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T1	1	625	0	0
KH_T1H4	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T1	2	2	0	4
KH_T1H4	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T1	11	967	0	1
KH_T1H5	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T1	2	0	0	1
KH_T1H5	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T1	12	227	0	1
KH_T1H6	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	H	T1	0	3	0	6
KH_T1H6	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	H	T1	3	593	0	4
KH_T1S1	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T1	1	2	0	1
KH_T1S1	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T1	6	81	0	0
KH_T1S2	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T1	1	4	0	0
KH_T1S2	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T1	6	167	0	2
KH_T1S3	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T1	1	1	0	1
KH_T1S3	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T1	12	106	0	1
KH_T1S4	B_KH	Atlantic	Cfb	July	2014	51.39222222	4.434722222	18	24.1	13.9	19	33.3	4.9	98.3	26.4	S	T1	5	2	0	4
KH_T1S4	B_KH	Atlantic	Cfb	September	2014	51.39222222	4.434722222	18	21.1	10.3	15.7	25.5	6	14	5.1	S	T1	13	148	0	2
