Code	SiteCode	biogeo	climate	lat	lon	alt	MMXT	MMNT	MNTM	EMXT	EMNT	TotalP	EMXP	dung	trap	BT	D	SR	ST
1	SP_CV	Iberian highlands	Csb	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	C	T1b	0	3	0	7
2	SP_CV	Iberian highlands	Csb	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	C	T1b	0	3	0	5
3	SP_CV	Iberian highlands	Csb	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	C	T1b	0	4	0	8
4	SP_CV	Iberian highlands	Csb	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	C	T1b	1	2	0	7
5	SP_CV	Iberian highlands	Csb	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	C	T1b	1	3	0	6
6	SP_CV	Iberian highlands	Csb	40.61361111	-3.663611111	680	29.9	22.3	14.7	36.1	8.9	0.8	0.8	C	T1b	0	1	0	8
C01 NV_T5_D2 10/06/2014	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T5	0	9	0	4
C1	N_LY	West Eurasian taiga	Cfc	60.68722222	5.128888889	20	20.1	12.4	16.2	25.6	9.2	192.3	30.5	C	T1	0	1	0	0
C11_NV_T1_D2	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T1	0	1	0	3
C12_NC_T1_D4	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T1	0	2	0	1
C16_NV_T5_D5	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T5	0	3	0	6
C19_NV_T1_C1	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	26.1	13.2	19.6	34.3	8.8	82.8	63.8	C	T1	0	5	0	5
C19_NV_T5_D6	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T5	0	4	0	4
C21_NV_T1_D6	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T1	0	1	0	2
C25_ NV_T1_D3	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T1	0	2	0	2
C28_NV_T1_C3	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	26.1	13.2	19.6	34.3	8.8	82.8	63.8	C	T1	0	5	0	7
C33_NV_T1_D1	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	25.4	13.5	19.8	32	7.4	48	24.4	D	T1	0	2	0	2
C37_NV_T1_C4	F_CH	Atlantic	Cfb	47.78527778	2.748611111	90	26.1	13.2	19.6	34.3	8.8	82.8	63.8	C	T1	0	8	0	7
