"","biogeo","N","mean","sd","se","ci","FG","trt","means","M","result"
"4","Atlantic",220,2.98181818181818,2.00675488594662,0.135295386810265,0.266647639246928,"D","Atlantic                  ",1.24402516552453,"bc","3 ± 0.1"
"7","Boreonemoral",32,2.40625,1.21441277459387,0.214679877018723,0.437842495850414,"D","Boreonemoral              ",1.15836130198152,"bc","2.4 ± 0.2"
"8","British islands",43,2.37209302325581,1.19569178649161,0.182341287998409,0.367979616977937,"D","British islands           ",1.15740658088795,"bc","2.4 ± 0.2"
"6","Caucaso-Iranian highlands",10,2.6,1.71269767715535,0.541602560309064,1.225190111193,"D","Caucaso-Iranian highlands ",1.1585432155757,"bc","2.6 ± 0.5"
"9","Central European highlands",36,1.66666666666667,2.0976176963403,0.349602949390051,0.709731719296445,"D","Central European highlands",0.7202140187996,"cd","1.7 ± 0.3"
"3","Iberian highlands",6,2.66666666666667,1.03279555898864,0.421637021355784,1.08385246832898,"D","Iberian highlands         ",1.26001341083697,"abc","2.7 ± 0.4"
"5","Mediterranean sclerophyl",10,2.4,1.07496769977314,0.339934634239519,0.768985567728116,"D","Mediterranean sclerophyl  ",1.17722080629003,"bc","2.4 ± 0.3"
"2","Middle European forests",36,4.94444444444444,2.93690259038274,0.489483765063789,0.993704872205827,"D","Middle European forests   ",1.58958588265976,"ab","4.9 ± 0.5"
"1","Pannonian",72,6.77777777777778,5.06916172813396,0.597406438815807,1.19119460658505,"D","Pannonian                 ",1.79007466395155,"a","6.8 ± 0.6"
"11","Pontian Steppe",32,0.46875,0.76133901566529,0.134586995189704,0.274491986399491,"D","Pontian Steppe            ",0.28527176196674,"d","0.5 ± 0.1"
"10","West Eurasian taiga",3,1,0,0,0,"D","West Eurasian taiga       ",0.693147180559945,"cd","1 ± 0"
"31","Atlantic",220,0.590909090909091,0.904534033733291,0.0609836721136306,0.120189997494242,"BT","Atlantic                  ",0.339031331703548,"b","0.6 ± 0.1"
"71","Boreonemoral",32,0,0,0,0,"BT","Boreonemoral              ",0,"c","0 ± 0"
"81","British islands",43,0,0,0,0,"BT","British islands           ",0,"c","0 ± 0"
"91","Caucaso-Iranian highlands",10,0,0,0,0,"BT","Caucaso-Iranian highlands ",0,"c","0 ± 0"
"21","Central European highlands",36,0.5,0.50709255283711,0.0845154254728517,0.171575435311887,"BT","Central European highlands",0.346573590279973,"ab","0.5 ± 0.1"
"41","Iberian highlands",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489,"BT","Iberian highlands         ",0.231049060186648,"bc","0.3 ± 0.2"
"51","Mediterranean sclerophyl",10,0.3,0.483045891539648,0.152752523165195,0.345550214413644,"BT","Mediterranean sclerophyl  ",0.207944154167984,"bc","0.3 ± 0.2"
"61","Middle European forests",36,0.305555555555556,0.524782645860956,0.0874637743101593,0.177560901661753,"BT","Middle European forests   ",0.203803803158545,"bc","0.3 ± 0.1"
"12","Pannonian",72,1.02777777777778,1.11294840271454,0.131162227111698,0.261530052861232,"BT","Pannonian                 ",0.576412559711411,"a","1 ± 0.1"
"101","Pontian Steppe",32,0,0,0,0,"BT","Pontian Steppe            ",0,"c","0 ± 0"
"111","West Eurasian taiga",3,0,0,0,0,"BT","West Eurasian taiga       ",0,"c","0 ± 0"
"72","Atlantic",220,1.21363636363636,1.62593013900859,0.109620187609443,0.216045535099099,"ST","Atlantic                  ",0.60622228728962,"c","1.2 ± 0.1"
"82","Boreonemoral",32,0.53125,0.621360370217975,0.109842032835428,0.224024302947372,"ST","Boreonemoral              ",0.350254310144235,"cd","0.5 ± 0.1"
"102","British islands",43,0.0930232558139535,0.293902598732179,0.0448197261236945,0.0904498692155617,"ST","British islands           ",0.0644788074939484,"d","0.1 ± 0"
"62","Caucaso-Iranian highlands",10,1.9,2.76686746259295,0.874960316560446,1.9792977472714,"ST","Caucaso-Iranian highlands ",0.673340189183736,"bc","1.9 ± 0.9"
"92","Central European highlands",36,0.305555555555556,0.749073501808141,0.12484558363469,0.253450009143826,"ST","Central European highlands",0.168567377451225,"cd","0.3 ± 0.1"
"22","Iberian highlands",6,6.83333333333333,1.16904519445001,0.477260702109212,1.22683769170497,"ST","Iberian highlands         ",2.04850030938591,"a","6.8 ± 0.5"
"13","Mediterranean sclerophyl",10,7.3,0.823272602348565,0.260341655863555,0.588933741586486,"ST","Mediterranean sclerophyl  ",2.11195936468008,"a","7.3 ± 0.3"
"32","Middle European forests",36,7.33333333333333,3.3721548854447,0.562025814240784,1.14097306137157,"ST","Middle European forests   ",2.02194797292778,"a","7.3 ± 0.6"
"42","Pannonian",72,5.54166666666667,3.22375644765587,0.379923340838554,0.757545625754788,"ST","Pannonian                 ",1.73585581962699,"a","5.5 ± 0.4"
"52","Pontian Steppe",32,1.8125,0.859012936926128,0.151853468206859,0.309707190289819,"ST","Pontian Steppe            ",0.985815648298328,"b","1.8 ± 0.2"
"112","West Eurasian taiga",3,0,0,0,0,"ST","West Eurasian taiga       ",0,"d","0 ± 0"
"33","Atlantic",220,0,0,0,0,"SR","Atlantic                  ",0,"c","0 ± 0"
"43","Boreonemoral",32,0,0,0,0,"SR","Boreonemoral              ",0,"c","0 ± 0"
"53","British islands",43,0,0,0,0,"SR","British islands           ",0,"c","0 ± 0"
"23","Caucaso-Iranian highlands",10,0.1,0.316227766016838,0.1,0.22621571627982,"SR","Caucaso-Iranian highlands ",0.0693147180559945,"b","0.1 ± 0.1"
"63","Central European highlands",36,0,0,0,0,"SR","Central European highlands",0,"c","0 ± 0"
"73","Iberian highlands",6,0,0,0,0,"SR","Iberian highlands         ",0,"c","0 ± 0"
"14","Mediterranean sclerophyl",10,0.7,0.483045891539648,0.152752523165195,0.345550214413644,"SR","Mediterranean sclerophyl  ",0.485203026391962,"a","0.7 ± 0.2"
"83","Middle European forests",36,0,0,0,0,"SR","Middle European forests   ",0,"c","0 ± 0"
"93","Pannonian",72,0,0,0,0,"SR","Pannonian                 ",0,"c","0 ± 0"
"103","Pontian Steppe",32,0,0,0,0,"SR","Pontian Steppe            ",0,"c","0 ± 0"
"113","West Eurasian taiga",3,0,0,0,0,"SR","West Eurasian taiga       ",0,"c","0 ± 0"
"54","Atlantic",220,4.78636363636364,2.86926644158867,0.193445904028948,0.381253898210467,"total","Atlantic                  ",1.63376657650166,"bc","4.8 ± 0.2"
"74","Boreonemoral",32,2.9375,1.41278722457965,0.249747856718499,0.509364111986062,"total","Boreonemoral              ",1.30581439170949,"cd","2.9 ± 0.2"
"84","British islands",43,2.46511627906977,1.29741202489715,0.197853478929145,0.399284485665883,"total","British islands           ",1.1798503226564,"d","2.5 ± 0.2"
"64","Caucaso-Iranian highlands",10,4.6,2.7968235951204,0.884433277428107,2.00072707355108,"total","Caucaso-Iranian highlands ",1.62675633828812,"bcd","4.6 ± 0.9"
"104","Central European highlands",36,2.47222222222222,2.54655073283857,0.424425122139761,0.861628805404549,"total","Central European highlands",1.06191274734903,"d","2.5 ± 0.4"
"44","Iberian highlands",6,9.83333333333333,1.32916013582513,0.542627353203324,1.39486801766387,"total","Iberian highlands         ",2.37640747436449,"ab","9.8 ± 0.5"
"34","Mediterranean sclerophyl",10,10.7,2.05750658160146,0.650640709864771,1.4718515422287,"total","Mediterranean sclerophyl  ",2.44571017559866,"a","10.7 ± 0.7"
"15","Middle European forests",36,12.5833333333333,6.04920301716326,1.00820050286054,2.04675583412317,"total","Middle European forests   ",2.46847097589246,"a","12.6 ± 1"
"24","Pannonian",72,13.3472222222222,8.69378881767091,1.02457283786315,2.04294021493199,"total","Pannonian                 ",2.45641668098554,"a","13.3 ± 1"
"94","Pontian Steppe",32,2.28125,1.02341537620756,0.180915988121737,0.368980590442376,"total","Pontian Steppe            ",1.14239800123884,"d","2.3 ± 0.2"
"114","West Eurasian taiga",3,1,0,0,0,"total","West Eurasian taiga       ",0.693147180559945,"d","1 ± 0"
